Fecha;Equipo A;Equipo B;Equipo C;Equipo D;Equipo E;Equipo F
Sábado 01/01/2005;M;D;D;N;T;D
Domingo 02/01/2005;M;D;D;N;T;D
Lunes 03/01/2005;T;M;D;D;N;O
Martes 04/01/2005;T;M;D;D;N;O
Miércoles 05/01/2005;N;T;M;D;D;O
Jueves 06/01/2005;N;T;M;D;D;O
Viernes 07/01/2005;D;N;T;M;D;O
Sábado 08/01/2005;D;N;T;M;D;D
Domingo 09/01/2005;D;D;N;T;M;D
Lunes 10/01/2005;D;D;N;T;M;O
Martes 11/01/2005;M;D;D;N;T;O
Miércoles 12/01/2005;M;D;D;N;T;O
Jueves 13/01/2005;T;M;D;D;N;O
Viernes 14/01/2005;T;M;D;D;N;O
Sábado 15/01/2005;N;T;M;D;D;D
Domingo 16/01/2005;N;T;M;D;D;D
Lunes 17/01/2005;D;N;T;O;D;M
Martes 18/01/2005;D;N;T;O;D;M
Miércoles 19/01/2005;D;D;N;O;M;T
Jueves 20/01/2005;D;D;N;O;M;T
Viernes 21/01/2005;M;D;D;O;T;N
Sábado 22/01/2005;M;D;D;D;T;N
Domingo 23/01/2005;T;M;D;D;N;D
Lunes 24/01/2005;T;M;D;O;N;D
Martes 25/01/2005;N;T;M;O;D;D
Miércoles 26/01/2005;N;T;M;O;D;D
Jueves 27/01/2005;D;N;T;O;D;M
Viernes 28/01/2005;D;N;T;O;D;M
Sábado 29/01/2005;D;D;N;D;M;T
Domingo 30/01/2005;D;D;N;D;M;T
Lunes 31/01/2005;O;D;D;M;T;N
Martes 01/02/2005;O;D;D;M;T;N
Miércoles 02/02/2005;O;M;D;T;N;D
Jueves 03/02/2005;O;M;D;T;N;D
Viernes 04/02/2005;O;T;M;N;D;D
Sábado 05/02/2005;D;T;M;N;D;D
Domingo 06/02/2005;D;N;T;D;D;M
Lunes 07/02/2005;O;N;T;D;D;M
Martes 08/02/2005;O;D;N;D;M;T
Miércoles 09/02/2005;O;D;N;D;M;T
Jueves 10/02/2005;O;D;D;M;T;N
Viernes 11/02/2005;O;D;D;M;T;N
Sábado 12/02/2005;D;M;D;T;N;D
Domingo 13/02/2005;D;M;D;T;N;D
Lunes 14/02/2005;M;T;O;N;D;D
Martes 15/02/2005;M;T;O;N;D;D
Miércoles 16/02/2005;T;N;O;D;D;M
Jueves 17/02/2005;T;N;O;D;D;M
Viernes 18/02/2005;N;D;O;D;M;T
Sábado 19/02/2005;N;D;D;D;M;T
Domingo 20/02/2005;D;D;D;M;T;N
Lunes 21/02/2005;D;D;O;M;T;N
Martes 22/02/2005;D;M;O;T;N;D
Miércoles 23/02/2005;D;M;O;T;N;D
Jueves 24/02/2005;M;T;O;N;D;D
Viernes 25/02/2005;M;T;O;N;D;D
Sábado 26/02/2005;T;N;D;D;D;M
Domingo 27/02/2005;T;N;D;D;D;M
Lunes 28/02/2005;N;D;M;D;O;T
Martes 01/03/2005;N;D;M;D;O;T
Miércoles 02/03/2005;D;D;T;M;O;N
Jueves 03/03/2005;D;D;T;M;O;N
Viernes 04/03/2005;D;M;N;T;O;D
Sábado 05/03/2005;D;M;N;T;D;D
Domingo 06/03/2005;M;T;D;N;D;D
Lunes 07/03/2005;M;T;D;N;O;D
Martes 08/03/2005;T;N;D;D;O;M
Miércoles 09/03/2005;T;N;D;D;O;M
Jueves 10/03/2005;N;D;M;D;O;T
Viernes 11/03/2005;N;D;M;D;O;T
Sábado 12/03/2005;D;D;T;M;D;N
Domingo 13/03/2005;D;D;T;M;D;N
Lunes 14/03/2005;D;O;N;T;M;D
Martes 15/03/2005;D;O;N;T;M;D
Miércoles 16/03/2005;M;O;D;N;T;D
Jueves 17/03/2005;M;O;D;N;T;D
Viernes 18/03/2005;T;O;D;D;N;M
Sábado 19/03/2005;T;D;D;D;N;M
Domingo 20/03/2005;N;D;M;D;D;T
Lunes 21/03/2005;N;O;M;D;D;T
Martes 22/03/2005;D;O;T;M;D;N
Miércoles 23/03/2005;D;O;T;M;D;N
Jueves 24/03/2005;D;O;N;T;M;D
Viernes 25/03/2005;D;O;N;T;M;D
Sábado 26/03/2005;M;D;D;N;T;D
Domingo 27/03/2005;M;D;D;N;T;D
Lunes 28/03/2005;T;M;D;D;N;O
Martes 29/03/2005;T;M;D;D;N;O
Miércoles 30/03/2005;N;T;M;D;D;O
Jueves 31/03/2005;N;T;M;D;D;O
Viernes 01/04/2005;D;N;T;M;D;O
Sábado 02/04/2005;D;N;T;M;D;D
Domingo 03/04/2005;D;D;N;T;M;D
Lunes 04/04/2005;D;D;N;T;M;O
Martes 05/04/2005;M;D;D;N;T;O
Miércoles 06/04/2005;M;D;D;N;T;O
Jueves 07/04/2005;T;M;D;D;N;O
Viernes 08/04/2005;T;M;D;D;N;O
Sábado 09/04/2005;N;T;M;D;D;D
Domingo 10/04/2005;N;T;M;D;D;D
Lunes 11/04/2005;D;N;T;O;D;M
Martes 12/04/2005;D;N;T;O;D;M
Miércoles 13/04/2005;D;D;N;O;M;T
Jueves 14/04/2005;D;D;N;O;M;T
Viernes 15/04/2005;M;D;D;O;T;N
Sábado 16/04/2005;M;D;D;D;T;N
Domingo 17/04/2005;T;M;D;D;N;D
Lunes 18/04/2005;T;M;D;O;N;D
Martes 19/04/2005;N;T;M;O;D;D
Miércoles 20/04/2005;N;T;M;O;D;D
Jueves 21/04/2005;D;N;T;O;D;M
Viernes 22/04/2005;D;N;T;O;D;M
Sábado 23/04/2005;D;D;N;D;M;T
Domingo 24/04/2005;D;D;N;D;M;T
Lunes 25/04/2005;O;D;D;M;T;N
Martes 26/04/2005;O;D;D;M;T;N
Miércoles 27/04/2005;O;M;D;T;N;D
Jueves 28/04/2005;O;M;D;T;N;D
Viernes 29/04/2005;O;T;M;N;D;D
Sábado 30/04/2005;D;T;M;N;D;D
Domingo 01/05/2005;D;N;T;D;D;M
Lunes 02/05/2005;O;N;T;D;D;M
Martes 03/05/2005;O;D;N;D;M;T
Miércoles 04/05/2005;O;D;N;D;M;T
Jueves 05/05/2005;O;D;D;M;T;N
Viernes 06/05/2005;O;D;D;M;T;N
Sábado 07/05/2005;D;M;D;T;N;D
Domingo 08/05/2005;D;M;D;T;N;D
Lunes 09/05/2005;M;T;O;N;D;D
Martes 10/05/2005;M;T;O;N;D;D
Miércoles 11/05/2005;T;N;O;D;D;M
Jueves 12/05/2005;T;N;O;D;D;M
Viernes 13/05/2005;N;D;O;D;M;T
Sábado 14/05/2005;N;D;D;D;M;T
Domingo 15/05/2005;D;D;D;M;T;N
Lunes 16/05/2005;D;D;O;M;T;N
Martes 17/05/2005;D;M;O;T;N;D
Miércoles 18/05/2005;D;M;O;T;N;D
Jueves 19/05/2005;M;T;O;N;D;D
Viernes 20/05/2005;M;T;O;N;D;D
Sábado 21/05/2005;T;N;D;D;D;M
Domingo 22/05/2005;T;N;D;D;D;M
Lunes 23/05/2005;N;D;O;D;M;T
Martes 24/05/2005;N;D;O;D;M;T
Miércoles 25/05/2005;D;D;O;M;T;N
Jueves 26/05/2005;D;D;O;M;T;N
Viernes 27/05/2005;D;M;O;T;N;D
Sábado 28/05/2005;D;M;D;T;N;D
Domingo 29/05/2005;M;T;D;N;D;D
Lunes 30/05/2005;M;T;O;N;D;D
Martes 31/05/2005;T;N;O;D;D;M
Miércoles 01/06/2005;T;N;O;D;D;M
Jueves 02/06/2005;N;D;O;D;M;T
Viernes 03/06/2005;N;D;O;D;M;T
Sábado 04/06/2005;D;D;D;M;T;N
Domingo 05/06/2005;D;D;D;M;T;N
Lunes 06/06/2005;D;O;M;T;N;D
Martes 07/06/2005;D;O;M;T;N;D
Miércoles 08/06/2005;M;O;T;N;D;D
Jueves 09/06/2005;M;O;T;N;D;D
Viernes 10/06/2005;T;O;N;D;D;M
Sábado 11/06/2005;T;D;N;D;D;M
Domingo 12/06/2005;N;D;D;D;M;T
Lunes 13/06/2005;N;O;D;D;M;T
Martes 14/06/2005;D;O;D;M;T;N
Miércoles 15/06/2005;D;O;D;M;T;N
Jueves 16/06/2005;D;O;M;T;N;D
Viernes 17/06/2005;D;O;M;T;N;D
Sábado 18/06/2005;M;D;T;N;D;D
Domingo 19/06/2005;M;D;T;N;D;D
Lunes 20/06/2005;T;O;N;D;D;M
Martes 21/06/2005;T;O;N;D;D;M
Miércoles 22/06/2005;N;O;D;D;M;T
Jueves 23/06/2005;N;O;D;D;M;T
Viernes 24/06/2005;D;O;D;M;T;N
Sábado 25/06/2005;D;D;D;M;T;N
Domingo 26/06/2005;D;D;M;T;N;D
Lunes 27/06/2005;D;O;M;T;N;D
Martes 28/06/2005;M;O;T;N;D;D
Miércoles 29/06/2005;M;O;T;N;D;D
Jueves 30/06/2005;T;O;N;D;D;M
Viernes 01/07/2005;T;O;N;D;D;M
Sábado 02/07/2005;N;D;D;D;M;T
Domingo 03/07/2005;N;D;D;D;M;T
Lunes 04/07/2005;D;M;D;O;T;N
Martes 05/07/2005;D;M;D;O;T;N
Miércoles 06/07/2005;D;T;M;O;N;D
Jueves 07/07/2005;D;T;M;O;N;D
Viernes 08/07/2005;M;N;T;O;D;D
Sábado 09/07/2005;M;N;T;D;D;D
Domingo 10/07/2005;T;D;N;D;D;M
Lunes 11/07/2005;T;D;N;O;D;M
Martes 12/07/2005;N;D;D;O;M;T
Miércoles 13/07/2005;N;D;D;O;M;T
Jueves 14/07/2005;D;M;D;O;T;N
Viernes 15/07/2005;D;M;D;O;T;N
Sábado 16/07/2005;D;T;M;D;N;D
Domingo 17/07/2005;D;T;M;D;N;D
Lunes 18/07/2005;M;N;T;O;D;D
Martes 19/07/2005;M;N;T;O;D;D
Miércoles 20/07/2005;T;D;N;O;D;M
Jueves 21/07/2005;T;D;N;O;D;M
Viernes 22/07/2005;N;D;D;O;M;T
Sábado 23/07/2005;N;D;D;D;M;T
Domingo 24/07/2005;D;M;D;D;T;N
Lunes 25/07/2005;D;M;D;O;T;N
Martes 26/07/2005;D;T;M;O;N;D
