Fecha;Equipo A;Equipo B;Equipo C;Equipo D;Equipo E;Equipo F
S 01/01/2005;M;D;D;N;T;D
D 02/01/2005;M;D;D;N;T;D
L 03/01/2005;T;M;D;D;N;O
M 04/01/2005;T;M;D;D;N;O
X 05/01/2005;N;T;M;D;D;O
J 06/01/2005;N;T;M;D;D;O
V 07/01/2005;D;N;T;M;D;O
S 08/01/2005;D;N;T;M;D;D
D 09/01/2005;D;D;N;T;M;D
L 10/01/2005;D;D;N;T;M;O
M 11/01/2005;M;D;D;N;T;O
X 12/01/2005;M;D;D;N;T;O
J 13/01/2005;T;M;D;D;N;O
V 14/01/2005;T;M;D;D;N;O
S 15/01/2005;N;T;M;D;D;D
D 16/01/2005;N;T;M;D;D;D
L 17/01/2005;D;N;T;O;D;M
M 18/01/2005;D;N;T;O;D;M
X 19/01/2005;D;D;N;O;M;T
J 20/01/2005;D;D;N;O;M;T
V 21/01/2005;M;D;D;O;T;N
S 22/01/2005;M;D;D;D;T;N
D 23/01/2005;T;M;D;D;N;D
L 24/01/2005;T;M;D;O;N;D
M 25/01/2005;N;T;M;O;D;D
X 26/01/2005;N;T;M;O;D;D
J 27/01/2005;D;N;T;O;D;M
V 28/01/2005;D;N;T;O;D;M
S 29/01/2005;D;D;N;D;M;T
D 30/01/2005;D;D;N;D;M;T
L 31/01/2005;O;D;D;M;T;N
M 01/02/2005;O;D;D;M;T;N
X 02/02/2005;O;M;D;T;N;D
J 03/02/2005;O;M;D;T;N;D
V 04/02/2005;O;T;M;N;D;D
S 05/02/2005;D;T;M;N;D;D
D 06/02/2005;D;N;T;D;D;M
L 07/02/2005;O;N;T;D;D;M
M 08/02/2005;O;D;N;D;M;T
X 09/02/2005;O;D;N;D;M;T
J 10/02/2005;O;D;D;M;T;N
V 11/02/2005;O;D;D;M;T;N
S 12/02/2005;D;M;D;T;N;D
D 13/02/2005;D;M;D;T;N;D
L 14/02/2005;M;T;O;N;D;D
M 15/02/2005;M;T;O;N;D;D
X 16/02/2005;T;N;O;D;D;M
J 17/02/2005;T;N;O;D;D;M
V 18/02/2005;N;D;O;D;M;T
S 19/02/2005;N;D;D;D;M;T
D 20/02/2005;D;D;D;M;T;N
L 21/02/2005;D;D;O;M;T;N
M 22/02/2005;D;M;O;T;N;D
X 23/02/2005;D;M;O;T;N;D
J 24/02/2005;M;T;O;N;D;D
V 25/02/2005;M;T;O;N;D;D
S 26/02/2005;T;N;D;D;D;M
D 27/02/2005;T;N;D;D;D;M
L 28/02/2005;N;D;M;D;O;T
M 01/03/2005;N;D;M;D;O;T
X 02/03/2005;D;D;T;M;O;N
J 03/03/2005;D;D;T;M;O;N
V 04/03/2005;D;M;N;T;O;D
S 05/03/2005;D;M;N;T;D;D
D 06/03/2005;M;T;D;N;D;D
L 07/03/2005;M;T;D;N;O;D
M 08/03/2005;T;N;D;D;O;M
X 09/03/2005;T;N;D;D;O;M
J 10/03/2005;N;D;M;D;O;T
V 11/03/2005;N;D;M;D;O;T
S 12/03/2005;D;D;T;M;D;N
D 13/03/2005;D;D;T;M;D;N
L 14/03/2005;D;O;N;T;M;D
M 15/03/2005;D;O;N;T;M;D
X 16/03/2005;M;O;D;N;T;D
J 17/03/2005;M;O;D;N;T;D
V 18/03/2005;T;O;D;D;N;M
S 19/03/2005;T;D;D;D;N;M
D 20/03/2005;N;D;M;D;D;T
L 21/03/2005;N;O;M;D;D;T
M 22/03/2005;D;O;T;M;D;N
X 23/03/2005;D;O;T;M;D;N
J 24/03/2005;D;O;N;T;M;D
V 25/03/2005;D;O;N;T;M;D
S 26/03/2005;M;D;D;N;T;D
D 27/03/2005;M;D;D;N;T;D
L 28/03/2005;T;M;D;D;N;O
M 29/03/2005;T;M;D;D;N;O
X 30/03/2005;N;T;M;D;D;O
J 31/03/2005;N;T;M;D;D;O
V 01/04/2005;D;N;T;M;D;O
S 02/04/2005;D;N;T;M;D;D
D 03/04/2005;D;D;N;T;M;D
L 04/04/2005;D;D;N;T;M;O
M 05/04/2005;M;D;D;N;T;O
X 06/04/2005;M;D;D;N;T;O
J 07/04/2005;T;M;D;D;N;O
V 08/04/2005;T;M;D;D;N;O
S 09/04/2005;N;T;M;D;D;D
D 10/04/2005;N;T;M;D;D;D
L 11/04/2005;D;N;T;O;D;M
M 12/04/2005;D;N;T;O;D;M
X 13/04/2005;D;D;N;O;M;T
J 14/04/2005;D;D;N;O;M;T
V 15/04/2005;M;D;D;O;T;N
S 16/04/2005;M;D;D;D;T;N
D 17/04/2005;T;M;D;D;N;D
L 18/04/2005;T;M;D;O;N;D
M 19/04/2005;N;T;M;O;D;D
X 20/04/2005;N;T;M;O;D;D
J 21/04/2005;D;N;T;O;D;M
V 22/04/2005;D;N;T;O;D;M
S 23/04/2005;D;D;N;D;M;T
D 24/04/2005;D;D;N;D;M;T
L 25/04/2005;O;D;D;M;T;N
M 26/04/2005;O;D;D;M;T;N
X 27/04/2005;O;M;D;T;N;D
J 28/04/2005;O;M;D;T;N;D
V 29/04/2005;O;T;M;N;D;D
S 30/04/2005;D;T;M;N;D;D
D 01/05/2005;D;N;T;D;D;M
L 02/05/2005;O;N;T;D;D;M
M 03/05/2005;O;D;N;D;M;T
X 04/05/2005;O;D;N;D;M;T
J 05/05/2005;O;D;D;M;T;N
V 06/05/2005;O;D;D;M;T;N
S 07/05/2005;D;M;D;T;N;D
D 08/05/2005;D;M;D;T;N;D
L 09/05/2005;M;T;O;N;D;D
M 10/05/2005;M;T;O;N;D;D
X 11/05/2005;T;N;O;D;D;M
J 12/05/2005;T;N;O;D;D;M
V 13/05/2005;N;D;O;D;M;T
S 14/05/2005;N;D;D;D;M;T
D 15/05/2005;D;D;D;M;T;N
L 16/05/2005;D;D;O;M;T;N
M 17/05/2005;D;M;O;T;N;D
X 18/05/2005;D;M;O;T;N;D
J 19/05/2005;M;T;O;N;D;D
V 20/05/2005;M;T;O;N;D;D
S 21/05/2005;T;N;D;D;D;M
D 22/05/2005;T;N;D;D;D;M
L 23/05/2005;N;D;O;D;M;T
M 24/05/2005;N;D;O;D;M;T
X 25/05/2005;D;D;O;M;T;N
J 26/05/2005;D;D;O;M;T;N
V 27/05/2005;D;M;O;T;N;D
S 28/05/2005;D;M;D;T;N;D
D 29/05/2005;M;T;D;N;D;D
L 30/05/2005;M;T;O;N;D;D
M 31/05/2005;T;N;O;D;D;M
X 01/06/2005;T;N;O;D;D;M
J 02/06/2005;N;D;O;D;M;T
V 03/06/2005;N;D;O;D;M;T
S 04/06/2005;D;D;D;M;T;N
D 05/06/2005;D;D;D;M;T;N
L 06/06/2005;D;O;M;T;N;D
M 07/06/2005;D;O;M;T;N;D
X 08/06/2005;M;O;T;N;D;D
J 09/06/2005;M;O;T;N;D;D
